package_id,package_name,model_id,model_label,af_score,security_score,reliability_score,input_tokens,output_tokens,cost_usd,duration_s,error
gotohuman-mcp-server,GoToHuman MCP Server,claude-haiku-4-5-20251001,Haiku 4.5,,,,0,0,0.0,12.3,"3 validation errors for PackageEvaluation
pricing.free_tier_exists
  Input should be a valid boolean [type=bool_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/bool_type
pricing.requires_credit_card
  Input should be a valid boolean [type=bool_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/bool_type
requirements.requires_credit_card
  Input should be a valid boolean [type=bool_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/bool_type"
gotohuman-mcp-server,GoToHuman MCP Server,claude-sonnet-4-6,Sonnet 4.6,,,,0,0,0.0,25.4,"1 validation error for PackageEvaluation
pricing.free_tier_exists
  Input should be a valid boolean [type=bool_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/bool_type"
gotohuman-mcp-server,GoToHuman MCP Server,gemini-3-flash-preview,Gemini 3 Flash,67.5,85.0,45.0,5910,1095,0.00624,16.2,
gotohuman-mcp-server,GoToHuman MCP Server,gpt-4o-mini,GPT-4o mini,55.0,60.0,25.0,5060,621,0.001132,13.6,
claude-api,Anthropic Claude API,claude-haiku-4-5-20251001,Haiku 4.5,76.8,71.2,67.5,7533,1331,0.014188,11.7,
claude-api,Anthropic Claude API,claude-sonnet-4-6,Sonnet 4.6,72.5,73.5,62.5,7534,1604,0.046662,29.9,
claude-api,Anthropic Claude API,gemini-3-flash-preview,Gemini 3 Flash,90.2,89.0,85.0,7227,1114,0.006955,11.2,
claude-api,Anthropic Claude API,gpt-4o-mini,GPT-4o mini,67.5,60.0,62.5,6233,679,0.001342,14.1,
docker-mcp-server,Docker MCP Server,claude-haiku-4-5-20251001,Haiku 4.5,66.5,71.5,51.2,4535,1368,0.011375,12.8,
docker-mcp-server,Docker MCP Server,claude-sonnet-4-6,Sonnet 4.6,,,,0,0,0.0,45.0,Expecting value: line 1 column 1 (char 0)
docker-mcp-server,Docker MCP Server,gemini-3-flash-preview,Gemini 3 Flash,81.8,76.5,62.5,4434,1135,0.005622,11.1,
docker-mcp-server,Docker MCP Server,gpt-4o-mini,GPT-4o mini,71.5,60.0,65.0,3724,675,0.000964,15.0,
resend-mcp,Resend MCP Server,claude-haiku-4-5-20251001,Haiku 4.5,65.5,67.5,48.8,7254,1417,0.014339,14.1,
resend-mcp,Resend MCP Server,claude-sonnet-4-6,Sonnet 4.6,65.2,71.2,46.2,7255,1434,0.043275,28.0,
resend-mcp,Resend MCP Server,gemini-3-flash-preview,Gemini 3 Flash,85.8,83.5,60.0,7080,1108,0.006864,15.7,
resend-mcp,Resend MCP Server,gpt-4o-mini,GPT-4o mini,74.5,72.5,62.5,6079,736,0.001353,19.6,
server-wp-mcp,WordPress MCP Server,claude-haiku-4-5-20251001,Haiku 4.5,55.8,61.8,42.5,4535,1318,0.011125,12.4,
server-wp-mcp,WordPress MCP Server,claude-sonnet-4-6,Sonnet 4.6,,,,0,0,0.0,43.7,Expecting value: line 1 column 1 (char 0)
server-wp-mcp,WordPress MCP Server,gemini-3-flash-preview,Gemini 3 Flash,77.8,83.5,55.0,4434,1038,0.005331,10.5,
server-wp-mcp,WordPress MCP Server,gpt-4o-mini,GPT-4o mini,67.5,60.0,55.0,3725,700,0.000979,12.0,
fr24api-mcp,Flightradar24 MCP Server (Official),claude-haiku-4-5-20251001,Haiku 4.5,62.5,70.8,47.5,7183,1330,0.013833,13.7,
fr24api-mcp,Flightradar24 MCP Server (Official),claude-sonnet-4-6,Sonnet 4.6,66.0,65.8,46.2,7184,1554,0.044862,30.6,
fr24api-mcp,Flightradar24 MCP Server (Official),gemini-3-flash-preview,Gemini 3 Flash,,,,0,0,0.0,22.5,Unterminated string starting at: line 14 column 16 (char 591)
fr24api-mcp,Flightradar24 MCP Server (Official),gpt-4o-mini,GPT-4o mini,73.5,60.0,75.0,6027,707,0.001328,12.7,
